#,Source,Pair,Volume (24h),Price,Volume (%),%,Updated
118,Huobi,XRP/BTC,"$11,080,300",$10747.60,0.13,%,Recently
119,Paribu,BTC/TRY,"$11,061,900",$10705.00,0.13,%,Recently
120,OKEx,VEE/BTC,"$10,978,400",$10810.80,0.13,%,Recently
121,Huobi,ETH/BTC,"$10,902,200",$10774.70,0.13,%,Recently
122,Bittrex,RISE/BTC,"$10,806,000",$15510.80,0.00,%,173 hours ago
123,Binance,OMG/BTC,"$10,724,800",$10711.30,0.13,%,Recently
124,Bitfinex,XRP/BTC,"$10,490,300",$10783.00,0.13,%,Recently
125,Simex,BTC/USD,"$10,382,400",$10800.00,0.13,%,Recently
126,Bittrex,BCC/BTC,"$10,221,300",$10749.90,0.12,%,Recently
127,Luno,BTC/ZAR,"$9,734,540",$11378.20,0.12,%,Recently
128,Bit-Z,BCH/BTC,"$9,663,510",$10791.60,0.12,%,Recently
129,Liqui,TRX/BTC,"$9,644,750",$10667.10,0.12,%,Recently
130,Binance,POE/BTC,"$9,602,500",$10738.90,0.12,%,Recently
131,Binance,XMR/BTC,"$9,567,340",$10714.30,0.12,%,Recently
132,Bittrex,XLM/BTC,"$9,529,340",$11077.90,0.12,%,Recently
133,Bittrex,LSK/BTC,"$9,515,260",$10812.90,0.12,%,Recently
134,Exmo,BTC/RUB,"$9,513,360",$10317.50,0.12,%,Recently
135,Bitfinex,BCH/BTC,"$9,513,120",$10782.60,0.12,%,Recently
136,YoBit,DASH/BTC,"$9,511,840",$10739.30,0.12,%,Recently
137,Huobi,PROPY/BTC,"$9,501,640",$10746.10,0.11,%,Recently
138,OKEx,INS/BTC,"$9,435,240",$10727.10,0.11,%,Recently
139,GDAX,LTC/BTC,"$9,090,300",$10778.80,0.11,%,Recently
140,Binance,INS/BTC,"$8,986,470",$10753.90,0.11,%,Recently
141,Upbit,NEO/BTC,"$8,984,800",$10735.20,0.11,%,Recently
142,OKEx,NEO/BTC,"$8,914,790",$10709.80,0.11,%,Recently
143,Kraken,ETH/BTC,"$8,836,520",$10795.60,0.11,%,Recently
144,GDAX,ETH/BTC,"$8,768,710",$10754.90,0.11,%,Recently
145,Binance,BRD/BTC,"$8,713,120",$10909.00,0.11,%,Recently
146,Binance,NEBL/BTC,"$8,684,030",$10774.90,0.11,%,Recently
147,Zebpay,BTC/INR,"$8,644,440",$11046.00,0.10,%,Recently
148,Neraex,BTC/JPY,"$8,572,540",$10847.20,0.10,%,Recently
149,BitBay,BTC/PLN,"$8,567,980",$10808.90,0.10,%,Recently
150,Poloniex,XMR/BTC,"$8,524,600",$10768.90,0.10,%,Recently
151,BTC Markets,BTC/AUD,"$8,383,330",$10817.90,0.10,%,Recently
152,WEX,BCH/BTC,"$8,208,820",$10781.80,0.10,%,Recently
153,EXX,LTC/BTC,"$7,760,260",$10617.30,0.09,%,Recently
154,Bitcoin Indonesia,BTC/IDR,"$7,636,550",$11002.80,0.09,%,Recently
155,HitBTC,ZEC/BTC,"$7,582,490",$10742.60,0.09,%,Recently
156,Binance,GVT/BTC,"$7,563,560",$10593.60,0.09,%,Recently
157,Bittrex,OMG/BTC,"$7,425,060",$10774.70,0.09,%,Recently
158,Poloniex,ETC/BTC,"$7,309,760",$10776.70,0.09,%,Recently
159,Tidex,ETH/BTC,"$7,218,640",$10753.70,0.09,%,Recently
160,Bitfinex,EOS/BTC,"$7,125,460",$10771.80,0.09,%,Recently
161,Negocie Coins,BTC/BRL,"$7,122,440",$11116.30,0.09,%,Recently
162,Poloniex,XEM/BTC,"$7,114,520",$10863.70,0.09,%,Recently
163,Bittrex,XMR/BTC,"$7,077,090",$10774.90,0.09,%,Recently
164,Fatbtc,BTC/CNY,"$6,922,310",$11267.60,0.08,%,Recently
165,CoinEgg,QTUM/BTC,"$6,580,060",$11010.30,0.08,%,Recently
166,BtcTrade.im,BCH/BTC,"$6,579,230",$10963.50,0.08,%,Recently
167,Poloniex,STR/BTC,"$6,500,500",$11072.80,0.08,%,Recently
168,GetBTC,BTC/RUB,"$6,398,260",$11143.30,0.08,%,Recently
169,CoinEgg,RUFF/BTC,"$6,394,640",$10818.20,0.08,%,Recently
